NEW_BUS_ID,RECONCILIATION_NUM,Percentage,Accum_Percentage,Client_Num
16727,20,0,0.773,376
37769,20,0,0.773,377
38236,20,0,0.774,378
6793,20,0,0.774,379
10353,20,0,0.774,380
19215,20,0,0.775,381
33884,20,0,0.775,382
19663,20,0,0.776,383
35595,20,0,0.776,384
30910,20,0,0.776,385
35681,20,0,0.777,386
26007,19,0,0.777,387
36766,19,0,0.777,388
22515,19,0,0.778,389
28373,19,0,0.778,390
25366,19,0,0.778,391
31070,19,0,0.779,392
30370,19,0,0.779,393
34593,19,0,0.779,394
19720,19,0,0.78,395
20849,19,0,0.78,396
16468,19,0,0.78,397
22643,19,0,0.781,398
37426,19,0,0.781,399
26087,19,0,0.781,400
34840,19,0,0.782,401
33790,19,0,0.782,402
34012,19,0,0.782,403
38343,19,0,0.783,404
21937,18,0,0.783,405
19018,18,0,0.783,406
37767,18,0,0.784,407
16556,18,0,0.784,408
35443,18,0,0.784,409
15137,18,0,0.785,410
18135,18,0,0.785,411
16714,18,0,0.785,412
30650,18,0,0.785,413
35714,18,0,0.786,414
35558,18,0,0.786,415
37631,18,0,0.786,416
36736,18,0,0.787,417
33787,18,0,0.787,418
31993,18,0,0.787,419
35410,18,0,0.788,420
7613,18,0,0.788,421
16757,18,0,0.788,422
36247,18,0,0.789,423
14568,17,0,0.789,424
36367,17,0,0.789,425
34693,17,0,0.79,426
33830,17,0,0.79,427
1103,17,0,0.79,428
35382,17,0,0.79,429
17911,17,0,0.791,430
25126,17,0,0.791,431
6613,17,0,0.791,432
33778,17,0,0.792,433
16416,17,0,0.792,434
33770,17,0,0.792,435
10855,17,0,0.793,436
33765,17,0,0.793,437
26687,17,0,0.793,438
35516,17,0,0.793,439
20543,17,0,0.794,440
35587,17,0,0.794,441
36154,17,0,0.794,442
37062,17,0,0.795,443
32327,17,0,0.795,444
35575,17,0,0.795,445
19870,17,0,0.796,446
14997,17,0,0.796,447
34780,17,0,0.796,448
10299,17,0,0.796,449
22902,17,0,0.797,450
2154,17,0,0.797,451
31380,17,0,0.797,452
36596,16,0,0.798,453
31270,16,0,0.798,454
6273,16,0,0.798,455
35660,16,0,0.798,456
33756,16,0,0.799,457
32450,16,0,0.799,458
22076,16,0,0.799,459
7773,16,0,0.8,460
37368,16,0,0.8,461
15077,16,0,0.8,462
15722,16,0,0.8,463
23505,16,0,0.801,464
38238,16,0,0.801,465
34786,16,0,0.801,466
36691,16,0,0.802,467
38229,16,0,0.802,468
37685,16,0,0.802,469
19793,16,0,0.802,470
36246,16,0,0.803,471
31383,16,0,0.803,472
20439,16,0,0.803,473
16473,16,0,0.804,474
6953,15,0,0.804,475
31548,15,0,0.804,476
37432,15,0,0.804,477
24525,15,0,0.805,478
27110,15,0,0.805,479
19893,15,0,0.805,480
16581,15,0,0.805,481
27170,15,0,0.806,482
19622,15,0,0.806,483
35559,15,0,0.806,484
14556,15,0,0.806,485
35451,15,0,0.807,486
29850,15,0,0.807,487
38079,15,0,0.807,488
37073,15,0,0.807,489
37904,15,0,0.808,490
37489,15,0,0.808,491
35822,15,0,0.808,492
38497,15,0,0.809,493
16659,15,0,0.809,494
35470,15,0,0.809,495
34773,15,0,0.809,496
6274,15,0,0.81,497
21795,14,0,0.81,498
19657,14,0,0.81,499
36071,14,0,0.81,500
37331,14,0,0.811,501
33559,14,0,0.811,502
14607,14,0,0.811,503
19475,14,0,0.811,504
33776,14,0,0.812,505
37944,14,0,0.812,506
33786,14,0,0.812,507
36076,14,0,0.812,508
14642,14,0,0.813,509
33450,14,0,0.813,510
32360,14,0,0.813,511
35065,14,0,0.813,512
15695,14,0,0.814,513
31566,14,0,0.814,514
22662,14,0,0.814,515
23184,14,0,0.814,516
35457,14,0,0.815,517
36709,14,0,0.815,518
31291,14,0,0.815,519
15726,14,0,0.815,520
34759,14,0,0.816,521
7753,14,0,0.816,522
36997,14,0,0.816,523
34824,14,0,0.816,524
35387,14,0,0.817,525
38311,14,0,0.817,526
8213,14,0,0.817,527
1017,14,0,0.817,528
14632,13,0,0.817,529
34869,13,0,0.818,530
21174,13,0,0.818,531
33230,13,0,0.818,532
33774,13,0,0.818,533
33807,13,0,0.819,534
35403,13,0,0.819,535
16464,13,0,0.819,536
33868,13,0,0.819,537
21158,13,0,0.82,538
34805,13,0,0.82,539
15765,13,0,0.82,540
33782,13,0,0.82,541
2333,13,0,0.82,542
35708,13,0,0.821,543
16752,13,0,0.821,544
38376,13,0,0.821,545
16746,13,0,0.821,546
13835,13,0,0.822,547
37914,13,0,0.822,548
34656,13,0,0.822,549
10575,13,0,0.822,550
35701,13,0,0.823,551
30950,13,0,0.823,552
37875,13,0,0.823,553
15837,13,0,0.823,554
33705,13,0,0.823,555
36908,13,0,0.824,556
31516,13,0,0.824,557
18435,13,0,0.824,558
33791,12,0,0.824,559
16759,12,0,0.825,560
32251,12,0,0.825,561
2053,12,0,0.825,562
26047,12,0,0.825,563
32253,12,0,0.825,564
2135,12,0,0.826,565
33861,12,0,0.826,566
9734,12,0,0.826,567
31489,12,0,0.826,568
31419,12,0,0.826,569
31578,12,0,0.827,570
1853,12,0,0.827,571
19637,12,0,0.827,572
19781,12,0,0.827,573
6653,12,0,0.828,574
15629,12,0,0.828,575
37150,12,0,0.828,576
27270,12,0,0.828,577
35557,12,0,0.828,578
34872,12,0,0.829,579
22903,12,0,0.829,580
19796,12,0,0.829,581
33794,12,0,0.829,582
33818,12,0,0.829,583
36846,12,0,0.83,584
33789,12,0,0.83,585
25648,12,0,0.83,586
10271,12,0,0.83,587
35222,12,0,0.83,588
33761,12,0,0.831,589
7493,12,0,0.831,590
33766,12,0,0.831,591
33769,12,0,0.831,592
13975,12,0,0.832,593
35454,12,0,0.832,594
33997,12,0,0.832,595
37237,12,0,0.832,596
21168,12,0,0.832,597
7333,12,0,0.833,598
19676,12,0,0.833,599
32301,12,0,0.833,600
33777,12,0,0.833,601
